"data__message","data__story","data__updated_time","data__id","paging__previous","paging__next"
"","","2014-08-14T06:16:41+0000","707688259256219_827990797225964","",""
"להשכרה דירת 4 חדרים שלוש חדרי שינה וסלון ,מתאימה ל-3 שותפים גדולה 95 מטר+ מטבח מפנק וגדול+שירותים ומקלחת חדשים .ברחוב דובנוב השקט והמבוקש. מזגן בכל חדר, בעל בית נוח וידידותי, הדירה עצומה. מציאה טובה שווה לבוא לראות. מחיר 6700!! -תיווך- לפרטים  052-5780727","","2014-08-14T04:53:19+0000","707688259256219_827969267228117","",""
"היי...  מסבלטים דירת שני חדרים- (שני חדרי שינה- פלוס מסדרון רחב שמהווה כפינת ישיבה),  דירת פרטר, במרכז תל אביב, קרוב מאוד לים ודיזינגוף סנטר (בוגרשוב- פינסקר). לשבוע- 17-23/8- 1000 ש""ח  עמרי-0524785044 רחלי- 0546307586 Racheli Rosenbach  :)","","2014-08-13T23:39:22+0000","707688259256219_827864333905277","",""
"https://www.facebook.com/aviliga/media_set?set=a.10152328812056325.1073741834.691031324&type=1&notif_t=like","","2014-08-13T20:26:50+0000","707688259256219_827800947244949","",""
"","","2014-08-13T14:09:15+0000","707688259256219_827622457262798","",""
"מחפשות שותפ\ה שלישי (עוזב עקב טיסה לחו""ל) , דירת 4 חדרים משופצת (94 מ""ר) ברמת אביב – רחוב אברהם ברלינר (דקה מהאוניברסיטה – מול השער הראשי!!) , מטבח גדול , 2 חדרי שירותים , מזגנים בכל חדר ובסלון . הכניסה היא מיידית עד ה1.10 עם אופציה להארכה מול בעלת הבית . שכ""ד 2100 שקל ללא עישון וללא בע""ח ( החדר שמתפנה גדול מאוד ומרווח) ליצירת קשר עמית 054-2339028/0542339027","","2014-08-13T13:13:15+0000","707688259256219_825788550779522","",""
"https://www.facebook.com/aviliga/media_set?דירת 2 חדרים ר""ח הישנברג מאת אברהם אשכנזי 8 תמונות  להשכרה !!מציאהה!! דירת 2 חדרים ברחוב קטן ושקט בקרבת דיזנגוף בן גוריון .  65 מטר מרווחת ומלאת אור קומה שנייה לחזית שקטה מאוד מחיר מבוקש... 5200₪ מצוינת לזוג או יחיד .  לפרטים אבי 0546605999 בוגרשוב נכסים  Tel Aviv set=a.10152326682366325.1073741831.691031324&type=1","","2014-08-13T13:07:55+0000","707688259256219_827597380598639","",""
"ניר הובלות לסטודנטים שרות אמין 0507779987","‎ניר שחר‎ shared ‎ניר הובלות חדש‎'s post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-13T12:51:25+0000","707688259256219_827590933932617","",""
"סבלט לשישה עד שבעה חודשים החל מה1/9. מתפנה חדר בדירת שלושה שותפים על אבן גבירול פינת ז׳בוטינסקי. דירת 4 חדרים, גדולה ( 100 מ״ר) משופצת ומרוהטת.  בדירה יש מכונת כביסה, אינטרנט, דוד שמש, מטבח מאובזר לחלוטין והחדר כולל מזגן. שכ״ד 2600 לחודש.  הכניסה בתחילת ספטמבר (גמיש).   מראה מחר, יום חמישי בשעה 1900 לפרטים ותיאום- בפרטי או עמית 0545646177 (6 photos)","","2014-08-13T12:47:44+0000","707688259256219_827537580604619","",""
"סבלט מיום שישי לכשלושה שבועות, יכול להיות שקצת יותר דירה לבד במרכז מיקום הכי לוהט קרוב להכל, מעולה ליחיד או זוג, מרפסת. שתי קומות, מרפסת, מלאה בשמש, אווירה מיוחדת כייפית ויצירתית. פרטים בפרטי בבקשה!","","2014-08-13T11:33:58+0000","707688259256219_827560567268987","",""
"","","2014-08-13T11:29:08+0000","707688259256219_827559170602460","",""
"דירה מהממת ביפו - 3 שותפות שהחליטו ליסוע לחו""ל , מה שמשאיר לכם את האפשרות לסאבלט חדר. חדר ראשון- הסוויטה המלכותית פנוי בשבועיים הקרובים, מתאים לזוג או ליחיד , כולל שרותים, ומינימרפסת-1,000 ש""ח חדר שני- החדר הצבעוני, פנוי מה- 5 בספטמבר ועד אמצע אוקטובר, כולל צעצועים ובריזת ים.-2,500 ש""ח  בדירה יש סלון ענק , מעוצב וממוזג , מטבח שלקוח מסדרות ריאלטי ואת המרפסת הכי גדולה שראיתם בתל אביב- יפו  בדירה נשארת שותפה אחת בכל אחת מהתקופות, הדירה ממקומת ברחוב ציונה תג'ר  לפרטים נוספים נא ליצור קשר דרך הפייסבוק או בטלפון: 0522403686","","2014-08-13T10:11:04+0000","707688259256219_827534283938282","",""
"מסבלטים את דירתנו המגניבה בת""א - פלורנטין, 10 דק' מהים ונווה צדק. דירת חדר+סלון+מרפסת בבניין חדש לגמרי, מרוהטת ומאובזרת. מתאימה לזוג או ליחיד. פנויה לסיבלוט בין אוגוסט לספטמבר- גמיש.  מטבח גדול, שירותים ומקלחת חדשים, מזגן מרכזי, מכונת כביסה, אינטרנט מהיר.  4000 ש""ח לחודש כולל הכל. 054-7272226 איילת","","2014-08-13T09:01:03+0000","707688259256219_825824984109212","",""
"*** מראה היום *** דירת 2.5 חדרים משופצת ויפה, 65 מ""ר עם מרפסת שמש מחדר השינה. מעוצבת מדהים, ממוקמת ברחוב הולנדי קטן ושקט ליד מתחם בזל. הדירה מעולה לזוגות\יחידים, פונה לגינה שקטה. החדר הנוסף מעולה כמשרד או חדר תינוק..*האמבטיה לפני שיפוץ מחיר:6,000 ש""ח לתיאום אלונה 050-3114140","","2014-08-13T08:46:59+0000","707688259256219_826347724056938","",""
"","","2014-08-13T07:18:44+0000","707688259256219_827487233942987","",""
"17.09-17.10 5,500 NIS We are subletting our next to the beach apartment (Bugrashov Area) during the holiday season. The apartment has two rooms (bedroom & living room) and fits up to two people with a child, it's completely equipped and renovated. 17.09-17.10 5,500 ש""ח  סאבלט לדירה שמתאימה ליחיד או לזוג מסבלטים את הדירה שלנו באזור בוגרשוב, ממש צמוד לים, הדירה היא דירת שני חדרים עם מזגן בכל חדר, היא מאובזרת לחלוטין וממוקמת שלוש דקות הליכה מהים. PM me for more details!","","2014-08-13T06:35:13+0000","707688259256219_827477720610605","",""
"יוצאת מוקדם מהצפוי מדירת סבלט מקסימה ביפו (מצאתי דירה קבועה באותה שכונה!)  זוהי דירת סטודיו גדולה עם תקרות גבוהות וחלונות ענקיים, מהרוהטת בוינטג' יפיפה, מלאה באור וקסם. בקיצור היה תענוג לשהות בה ואני מחפשת מי שיחליף אותי לשבועיים האחרונים של אוגוסט - אפשר גם להכנס השבוע! המחיר היה 3500 לחודש ויחושב לפי שבועיים (כולל חשבונות)  יש מכונת כביסה, אמבטית ישיבה ומטבח קטן. קומה שניה ברחוב קטן, 5 דקות הליכה ממרכז שוק הפשפשים.   אנא שתפו! מי שמעוניין שיכתוב בפרטי או יתקשר 052-5546022","","2014-08-13T06:27:05+0000","707688259256219_827463160612061","",""
"מפרסמת בשביל חבר תפנו אליו-סאבלט לשלושה חודשים-אפשר גם לפחות זמן-דירת 2.5 חדרים גדולה ומרווחת בכניסה לפלורנטין,רחוב שוקן. בחדר המתפנה ישנה מיטה זוגית ארון קיר ענקי שולחן כתיבה פלאזמה 50 אינצ,. בדירה ישנו את כל הריהוט הדרוש כולל אינטרנט אלחוטי מהיר! רק להביא בגדים!  הדירה ממוקמת 5 דקות הליכה מרוטישלד,7 דקות הליכה מחוף הים ובלב ליבה של פלורנטין המלאה בבארים ומסעדות בדירה נשאר שותף סטונדט בן 26 (פרטיות מלאה בדירה)  מחיר 2500 שקל כולל כל ההוצאות!!!!  כניסה מיידית  054-6550587 ארז. ...................................................................................................................................... Advertises for a friend-Sublet for 3 months (could be less time). Florentine neighborhood, specious 2.5 SHARED APARTMENT. The available room including all you need - double bed, huge closet, seating area and 50 inch plasma! Fully equipped kitchen, WiFi internet, washing machine etc. You can just bring clothes Located next to the heart of Florentine - bars, restaurants, coffee shops and CrAzY night life. 5 minutes walk from Rothschild and 10 minutes walk from the beach of old Jaffa and the famous flea market. The flatmate in the other room is 26 years old Student. Price ₪ 2,500 including all the bills. Available now!! 0546550587--erez","","2014-08-13T05:18:26+0000","707688259256219_827459100612467","",""
"מסבלטת את החדר הגדול והמרווח שלי בפלורנטין ל-7 חודשים עם אופציה להארכה. הרצל 94 פינת פלורנטין. נשארת שותפה מקסימה וכלבה מתוקה. שכ״ד- 1800₪ לא כולל חשבונות ( שיוצאים נמוכים) יש מזגן, כבלים, דוד חשמל.. הריהוט נשאר רק להביא את עצמך . המזרן חדש! פרטים בפרטי או בטלפון 0526366537 לצערי - רק לבנות ..","","2014-08-12T21:05:48+0000","707688259256219_827276537297390","",""
"הי! מחיר הדירה 1100 ש""ח לשבועיים, מוזמנים בחום!","","2014-08-12T20:14:17+0000","707688259256219_827252770633100","",""
"מסבלטת את החדר השווה שלי לחודש ספטמבר. החדר מרוהט לגמרי, עם מיטה זוגית, ארון גדול, פינת ישיבה וגם מרפסת שירות. בדירה נשארים שני שותפים מגניבים, והיא ממוקמת בצומת הרצל-פלורנטין. בעיקרון הסבלט הוא לכל חודש ספטמבר, אבל אפשר להיכנס קצת לפני/לצאת קצת אחרי. המחיר לחודש כולל הכל - 2050. צלצלו/סמסו - 0548077832","","2014-08-12T18:31:18+0000","707688259256219_827206950637682","",""
"","","2014-08-12T17:58:54+0000","707688259256219_827192983972412","",""
"Amazing renovated APT with a balcony and a yard - starting at 22.9! Luxurious 2 rooms apartment, located in Yermiyaho-Dizengof with a spacious living room, designed bedroom and a pretty balcony, and a huge back yard. Perfect location, quiet, in the center of Tel Aviv only 3 minutes walk to a sandy beach (Metzitzim), 2 minutes from the Yarkon Park, in the middle of Dizengoff and Ben-Yehuda shopping streets plenty of restaurants, cool bars and cafes.  550 sqf luxury apartment, lots of sun, a fully equipped kitchen facing a very spacious living room with a dining area and a charming bathroom. A real bargain for TLV! 5500 NIS אנחנו מסבלטים את הדירה המדהימה שלנו בתקופת החגים לחודש, החל מה22.9. דירה משופצת, מרוהטת, שקטה, עם חצר ענקית בין הפארק למציצים. אנא פנו בפרטי","","2014-08-12T15:40:20+0000","707688259256219_827131450645232","",""
"17.09-17.10 5,500 NIS We are subletting our next to the beach apartment (Bugrashov Area) during the holiday season. The apartment has two rooms (bedroom & living room) and fits up to two people with a child, it's completely equipped and renovated. 17.09-17.10 סאבלט לדירה שמתאימה ליחיד או לזוג מסבלטים את הדירה שלנו באזור בוגרשוב, ממש צמוד לים, הדירה היא דירת שני חדרים עם מזגן בכל חדר, היא מאובזרת לחלוטין וממוקמת שלוש דקות הליכה מהים. PM me for more details!","","2014-08-12T14:55:43+0000","707688259256219_827111000647277","",""
"ניר הובלות לסטודנטים שרות אמין במחירים נוחים 0507779987","‎ניר שחר‎ shared ‎ניר הובלות חדש‎'s post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-12T13:42:20+0000","707688259256219_827081707316873","",""
"סבלט לשישה עד שבעה חודשים החל מה-1/9 ( גמיש).  מתפנה חדר בדירת שלושה שותפים על אבן גבירול פינת ז׳בוטינסקי. דירת 4 חדרים, גדולה ( 100 מ״ר) משופצת ומרוהטת.  בדירה יש מכונת כביסה, אינטרנט, דוד שמש, מטבח מאובזר לחלוטין והחדר כולל מזגן. שכ״ד 2600 לחודש.    לפרטים ותיאום- בפרטי או עמית 0545646177","","2014-08-12T13:31:32+0000","707688259256219_826433067381737","",""
"הזדמנות אחרונה לסבלט בחודשים אוגוסט ספטמבר ב-2000 ש""ח כולל כל החשבונות דירת 2.5 חדרים מאובזרת לחלוטין בפלורנטין. בדירה נשארת שותפה מהממת, ארון, פלזמה, מחשב, ומיטה קינג סייז מראה את הדירה היום ומחר!!! 0523106222 נופר","","2014-08-12T12:32:17+0000","707688259256219_827005240657853","",""
"סבלט מיידי עד לחודש ספטמבר גמיש בתאריכים. דירת סטודיו מרווחת, דירת קרקע עם כניסה פרטית, מיקום מרכזי ביפו צמוד לשוק הפשפשים, מעוצבת משופצת ונקייה לאללה. מחיר: 3000 ש""ח כולל מים חשמל ארנונה ואינטרנט, רק להיכנס. ניתן ליצור קשר בהודעה פרטית או בטלפון: 0544217124 ערן 0547674717 יונתן  Immediate sublet until September with flexible dates. A spacious  studio flat, ground floor with a private entrance, in a central location in Jaffa very close to the flea market, designed clean and renovated. the price is 3000 including everything (has WiFi) just enter. Contact by PM or by phone: 0544217124 Eran  0547674717 Yonatan","","2014-08-12T12:27:47+0000","707688259256219_827049587320085","",""
"הדירה היפיפיה שלי פנויה לסאבלט בין התאריכים 19.9-18.10,  הדירה היא שניים וחצי חדרים ונמצאת מטר מכיכר רבין ברחוב שקט, במחיר 3000 בלבד. לעוד פרטים אפשר לפנות אלי בפרטי  My Beautiful apartment is available for sublet between 9/19/2014 to 10/18/2014. It's located in a quiet street next to Rabin Qs. And has 2.5 rooms and the price is only 3000 NIS for the entire period. PM me for more details","","2014-08-12T10:36:04+0000","707688259256219_827005593991151","",""
"חברים יקרים !!!!  יונתן ואני טסים לחו""ל ורוצים לסבלט את הדירה ה-מ-ה-מ-מ-ת שלנו ! 17 לאוגוסט- 31 לאוגוסט.  אז מה יש לנו להציע?  -דירת סטודיו+ גלרייה מרווחת, מוארת נקייה ויפיפיה, 60 מ""ר (כולל גלריה). -מיקום מדהים, לב ליבה של פלורנטין ברח' ויטל- 10 דק מהים, מרוטשילד ומיפו. -פונה לרח' פרנקל ושקטה! (יחסית למיקום ההיסטרי) - מרוהטת ומאבוזרת אחו שרמוטה: תנור, מזגן, מיקרו, אינטרנט מהיר, מכונת אספרסו, מחשב (נייח) פצצה, מערכת סטריאו מדהימה, פאטיפון, תקליטים ואפילו מאוורר עם שלט רחוק !! חוץ ממכונת כביסה יש פה הכל (ויש מכבסה ממש מתחת לבית). -יש מיטה זוגית ענקית למעלה ועוד פוטון-ספה שנפתח למיטה למטה.  2000 ש""ח (וזה כולל גם את כל החשבונות ועד בית וכו'). אידיאלי לזוג !  נשמח אם תשתפו ותתייגו חברים טובים ואנשים יפים שיכול להתאים להם.   תודה !! (4 photos) https://www.facebook.com/photo.php?fbid=10152298068286194&set=pcb.10152298068801194&type=1&theater","","2014-08-12T10:25:27+0000","707688259256219_827000263991684","",""
"מסבלט את שני חדריי הגדולים, המוארים, המאובזרים והממוזגים בדירת שותפים (בלתי מורגשים בעליל) ברחוב בלוך בין 18.9-17.10 תמורת 2300 ש""ח. הדירה מצוידת בכל טוב, באווירה טובה ובגג פרטי רחב ידיים. פרטים בפרטי","","2014-08-12T09:35:26+0000","707688259256219_826974047327639","",""
"צריכים לעבור או לאחסן דירה בקרוב? יש לנו פתרון בשבילכם!! חברת הובלות אמינה ומקצועית הטובה כיום בשוק ההובלות !!! אנו נותנים שירות כגון: אריזה,הובלה,פריטים בודדים,אחסנה לכל טווח(מבנים מבטון וביטוח), מנוף, פירוק והרכבת רהיטים, שירות ברמה הגבוהה ביותר...הנחות לסטודנטים וזוגות צעירים!! הערכת מחיר בבית הלקוח ללא התחייבות! לירן -050-3043095 להצעות מחיר ניתן לפנות בטלפון, במייל -או בס.מ.ס. aluf900@walla.com  10 אחוזי הנחה למגיעים דרך מודעה זו  נשמח ללייק בדף העסק 😊 https://www.facebook.com/pages/%D7%90%D7%9C%D7%95%D7%A4%D7%99-%D7%94%D7%94%D7%95%D7%91%D7%9C%D7%95%D7%A A/1405314766375620","","2014-08-12T09:18:24+0000","707688259256219_826961923995518","",""
"סאבלט בדירת שני חדרים מרווחת מאד ויפה במיוחד בטרומפלדור/פינסקר! מעכשיו עד סוף אוגוסט עם אופציה לספטמבר. 5,000 ש""ח לחודש כולל הכל (ואם מעוניינים רק באוגוסט, אז את החלק היחסי כמובן). דברו אליי","","2014-08-12T08:28:15+0000","707688259256219_826947590663618","",""
"###סבלט בנווה צדק#### בית מקסים בנווה צדק בין מתחם התחנה לסוזן דלל ,2 דקות מהים . יש בבית ריהוט מלא. הבית פנוי ל 3 שבועות (19.9 -8.10), 3500 לכל התקופה. לגבי תקופה קצרה יותר אפשר לדבר על המחיר. רק לקחת מפתח ולהרגיש בבית. לפרטים נוספים בפרטי.","","2014-08-12T08:03:12+0000","707688259256219_826941700664207","",""
"17.09-17.10 5,500 NIS We are subletting our next to the beach apartment (Bugrashov Area) during the holiday season. The apartment has two rooms and fits up to two people with a child, it's completely equipped and renovated. 17.09-17.10 סאבלט לדירה שמתאימה ליחיד או לזוג מסבלטים את הדירה שלנו באזור בוגרשוב, ממש צמוד לים, הדירה היא דירת שני חדרים עם מזגן בכל חדר, היא מאובזרת לחלוטין וממוקמת שלוש דקות הליכה מהים. PM me for more details!","","2014-08-11T17:07:18+0000","707688259256219_826603270698050","",""
"ניר הובלות לסטודנטים שרות אמין במחירים נוחים 0507779987","‎ניר שחר‎ shared ‎ניר הובלות חדש‎'s post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-11T16:18:52+0000","707688259256219_826537567371287","",""
"הדירה היפיפיה שלי פנויה לסאבלט בין התאריכים 19.9-18.10,  הדירה היא שניים וחצי חדרים ונמצאת מטר מכיכר רבין ברחוב שקט, במחיר 3000 בלבד. לעוד פרטים אפשר לפנות אלי בפרטי  My Beautiful apartment is available for sublet between 9/19/2014 to 10/18/2014. It's located in a quiet street next to Rabin Qs. And has 2.5 rooms and the price is only 3000 NIS for the entire period. PM me for more details","","2014-08-11T15:51:32+0000","707688259256219_826325447392499","",""
"שלום לעם ישראל. אני מחפש סבלט חדר או כל הדירה לשבוע בארץ בתל אביב עדיף ליד הים אבל גם מרחק הליכה זה בסדר.  מה12 לספטמבר לשבוע עד ה18. בבקשה ליצור קשר איתי תודה.","","2014-08-11T13:14:33+0000","707688259256219_826450624046648","",""
"מסבלטים! דירה מהממת וגדולה שתי דקות מהרכבת וכיכר המדינה, כולל חניה מה-17/8 ועד ה21/9!  4000 לכל התקופה (מחיר גמיש) פרטים נוספים בפרטי (את הבולדוג הצרפתי אנחנו לא מסבלטים)","","2014-08-11T11:47:52+0000","707688259256219_826407127384331","",""
"מסבלטת לשבועיים מה 16-30.8 דירת חדר מקסימה ומאובזרת עם יצא פנימית. בכרם התימנים דקה מהים.  1200 ש״ח כולל הכל יסמין 0548074321","","2014-08-11T11:11:35+0000","707688259256219_826394740718903","",""
"מסבלט את החדר שלי עקב טיסה ז׳בוטינסקי 20 דירה עם ארבעה חדרי שינה, סלון, מטבח, פינת אוכל, שני שירותים ושתי מקלחות. בדירה נשארים 3 שותפים אדירים, ומלא אוכל (אמא של אחד היא שפית) מסבלט מיום חמישי הקרוב ועד סוכות  (חודשיים) המחיר- 2500₪, כולל הכל! לפרטים- עידו 0546416117","","2014-08-11T10:44:38+0000","707688259256219_826386844053026","",""
"סבלט במרכז העיר מיום שלישי הקרוב ה-12.8 עד ה6 לספטמבר. 2500 כולל הכל :)","","2014-08-11T09:44:25+0000","707688259256219_826074630750914","",""
"מי רוצה לגור בדירה היפה שלי?  מחפשת לסבלט את החדר שלי, בדירתי המהממת ברחוב בזל בת""א.  בדירה נשאר השותף האדיר שלי!  מבחינת תאריך כניסה ומשך השהות אני גמישה. עלות:3,500 ש""ח לחודש כולל הוצאות. המודעה פונה לנשים בלבד:) פרטים בבקשה בפרטי.","","2014-08-11T09:36:30+0000","707688259256219_826363407388703","",""
"https://www.airbnb.com/rooms/3797329 (18.9- 8.10)סבלט בנווה צדק ליד סוזן דלל ,מתחם התחנה והים.  3500 שקל לשלושה שבועות","","2014-08-11T08:21:04+0000","707688259256219_826308307394213","",""
"","Idit Gokhman shared her post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-11T06:54:37+0000","707688259256219_826321490726228","",""
"","","2014-08-11T06:43:33+0000","707688259256219_826319017393142","",""
"ניר הובלות לסטודנטים שרות אמין 0507779987","‎ניר שחר‎ shared ‎ניר הובלות חדש‎'s post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-10T19:40:35+0000","707688259256219_826077657417278","",""
"","","2014-08-10T19:21:40+0000","707688259256219_826062870752090","",""
"מסבלטת את דירתי באוגוסט לשבועיים או שלושה, 12-8 עד סוף החודש, אופציה להתגמש. דירת חדר וחצי מקסימה,מאוד מרווחת(45 מ) עם מרפסת קטנה, במדרחוב של נחלת בנימין ברחוב רמבם, ממש קרוב לשוק הכרמל ולים. לתקופה של שלושה שבועות 2700 ש""ח","Liat Ben Shoshan uploaded a file in the group: ‎סבלט בתל אביב לתקופות קצרות‎.","2014-08-10T12:19:41+0000","707688259256219_822197157805328","",""
"אני מסבלטת את הדירה שלי לחודש, 15.8-15.9. דירה מהממת(!) בפלורנטין, בצד השקט של רחוב ויטל - מלאה באור ואויר. 2 חדרים מרווחים מאוד, מטבח מאובזר - מרחק הליכה קצרה מכל המקומות המגניבים בעיר. 3700 שקל, שזה כולל גם את כל החשבונות. דברו איתי בפרטי לפרטים נוספים.","","2014-08-10T12:18:45+0000","707688259256219_820299407995103","",""
"מסבלטים את דירתנו המהממת ברחוב העבודה עקב נסיעה בין התאריכים 17.9-16.0. דירת 3 חדרים (אחד מהחדרים יהיה סגור עבור איחסון) משופצת כחדשה, נעימה וביתית. השכ""ד הוא 6,000 ש""ח כולל חשבונות וחניה.","","2014-08-10T10:51:20+0000","707688259256219_825852460773131","",""
"הדירה היפיפיה שלי פנויה לסאבלט בין התאריכים 19.9-18.10,  הדירה היא שניים וחצי חדרים ונמצאת מטר מכיכר רבין ברחוב שקט, במחיר 3000 בלבד. לעוד פרטים אפשר לפנות אלי בפרטי My Beautiful apartment is available for sublet between 9/19/2014 to 10/18/2014. It's located in a quiet street next to Rabin Qs. And has 2.5 rooms and the price is only 3000 NIS for the entire period. PM me for more details","","2014-08-10T10:14:06+0000","707688259256219_825748624116848","",""
"מסבלטים את הדירה!  דירה מדהימה, 2 חדרים ומרפסת, משופצת בצפון הישן של ת""א.  10-31.9 2700 ש""ח לכל התקופה. 054-4943401 עדן.","","2014-08-10T09:34:22+0000","707688259256219_825828674108843","",""
"סבלט* סבלט* סבלט* בעקבות גיחה לחו""ל, מסבלטת את החדר הענק שלי (4X4) בדירה הקסומה שלנו ברחוב בזל בת""א בין התאריכים 1.9-15.10.14 .  חוץ ממיקום מטורף (בין אבן גבירול לדיזינגוף) בדירה יש סלון, מרפסת שמש, מכונת כביסה, מזגן, מעט אוכל ושותפה מדהימה!  המחיר הוא 3500 ש""ח לכל התקופה. לא למעשנים וללא חיות מחמד (לצערי...) ליצירת קשר: הדס- 054-5844413","","2014-08-10T09:21:31+0000","707688259256219_825824997442544","",""
"17.09-17.10 5,500 NIS We are subletting our next to the beach apartment (Bugrashov Area) during the holiday season. The apartment has two rooms and fits up to two people with a child, it's completely equipped and renovated. 17.09-17.10 סאבלט לדירה שמתאימה ליחיד או לזוג מסבלטים את הדירה שלנו באזור בוגרשוב, ממש צמוד לים, הדירה היא דירת שני חדרים עם מזגן בכל חדר, היא מאובזרת לחלוטין וממוקמת שלוש דקות הליכה מהים. PM me for more details!","","2014-08-10T09:20:46+0000","707688259256219_825824850775892","",""
"מסבלאט את החדר שלי בין ה17/8-17/10בדירת ארבעה חדרים ברחוב ארלזורוב...החדר מרוהט ומפנק כמו כל שאר הדירה. המחיר הוא2560+ 70 לארנונה+40 ועד בית לחודש לא כולל הוצאות שוטפות.את זמנכם ינעימו שני השותפים האדירים שלי.לפרטים נוספים מוזמנים לפנות אליי בפרטי","","2014-08-10T09:20:28+0000","707688259256219_825824780775899","",""
